director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Adam Brooks,Sofia Carson,Sebastian de Souza,Connie Britton,Romance Comedy Drama,the life list,Sofia Carson Sebastian de Souza Connie Britton Adam Brooks Romance Comedy Drama
Shaun Silva,Billy Zane,Zach Roerig,Cara Jade Myers,Western Action,day of reckoning,Billy Zane Zach Roerig Cara Jade Myers Shaun Silva Western Action
Wes Miller,Jason Mitchell,DreamDoll,NLE Choppa,Action Crime Drama,black heat,Jason Mitchell DreamDoll NLE Choppa Wes Miller Action Crime Drama
Freddy Macdonald,Eve Connolly,Calum Worthy,John Lynch,Thriller Comedy Crime,sew torn,Eve Connolly Calum Worthy John Lynch Freddy Macdonald Thriller Comedy Crime
Steven LaMorte,David Howard Thornton,Allison Pittel,Amy Schmacher,Horror Comedy,screamboat,David Howard Thornton Allison Pittel Amy Schmacher Steven LaMorte Horror Comedy
Jared Hess,Jason Momoa,Jack Black,Danielle Brooks,Family Fantasy Comedy Adventure,a minecraft movie,Jason Momoa Jack Black Danielle Brooks Jared Hess Family Fantasy Comedy Adventure
"Anna Boden, Ryan Fleck (directors/screenplay); Pedro Pascal, Ben Mendelsohn, Jay Ellis, Normani, Dominique Thorne, Jack Champion, Ji-young Yoo, Angus Cloud, Tom Hanks",Pedro Pascal,Ben Mendelsohn,Jay Ellis,Action Crime Comedy,freaky tales,"Pedro Pascal Ben Mendelsohn Jay Ellis Anna Boden, Ryan Fleck (directors/screenplay); Pedro Pascal, Ben Mendelsohn, Jay Ellis, Normani, Dominique Thorne, Jack Champion, Ji-young Yoo, Angus Cloud, Tom Hanks Action Crime Comedy"
"Billy Bryk, Finn Wolfhard (directors/screenplay); Fred Hechinger, Abby Quinn, D'Pharaoh Woon-A-Tai, Billy Bryk, Finn Wolfhard, Pardis Saremi, Rosebud Baker, Adam Pally",Fred Hechinger,Abby Quinn,D'Pharaoh Woon-A-Tai,Horror Comedy Mystery,hell of a summer,"Fred Hechinger Abby Quinn D'Pharaoh Woon-A-Tai Billy Bryk, Finn Wolfhard (directors/screenplay); Fred Hechinger, Abby Quinn, D'Pharaoh Woon-A-Tai, Billy Bryk, Finn Wolfhard, Pardis Saremi, Rosebud Baker, Adam Pally Horror Comedy Mystery"
Samir Oliveros,Paul Walter Hauser,Walton Goggins,Shamier Anderson,Drama History Comedy,the luckiest man in america,Paul Walter Hauser Walton Goggins Shamier Anderson Samir Oliveros Drama History Comedy
Michael Shannon,Judy Greer,Paul Sparks,Alison Pill,Drama,eric larue,Judy Greer Paul Sparks Alison Pill Michael Shannon Drama
Tolga Karaçelik,Steve Buscemi,Britt Lower,John Magaro,Crime Comedy,psycho therapy: the shallow tale of a writer who decided to write about a serial killer,Steve Buscemi Britt Lower John Magaro Tolga Karaçelik Crime Comedy
Roshan Sethi,Karan Soni,Jonathan Groff,Sunita Mani,Romance Comedy,a nice indian boy,Karan Soni Jonathan Groff Sunita Mani Roshan Sethi Romance Comedy
Ryan J. Sloan,Ariella Mastroianni,Marcia Debonis,Renee Gagner,Mystery Thriller Horror,gazer,Ariella Mastroianni Marcia Debonis Renee Gagner Ryan J. Sloan Mystery Thriller Horror
Stephen Cognetti,Elizabeth Vermilyea,Kathryn Miller,Joe Bandelli,Horror Thriller,825 forest road,Elizabeth Vermilyea Kathryn Miller Joe Bandelli Stephen Cognetti Horror Thriller
Richard Ledes,Alan Cumming,Samuel H. Levine,Liam Aiken,,v13,
Patricia Riggen,Viola Davis,Anthony Anderson,Marsai Martin,Action Mystery Drama,g20,Viola Davis Anthony Anderson Marsai Martin Patricia Riggen Action Mystery Drama
James Hawes,Rami Malek,Rachel Brosnahan,Caitríona Balfe,Thriller Action,the amateur,Rami Malek Rachel Brosnahan Caitríona Balfe James Hawes Thriller Action
Seong-ho Jang,Kenneth Branagh,Uma Thurman,Mark Hamill,Adventure Animation Family Fantasy,the king of kings,Kenneth Branagh Uma Thurman Mark Hamill Seong-ho Jang Adventure Animation Family Fantasy
Christopher Landon,Meghann Fahy,Brandon Sklenar,Violett Beane,Mystery Thriller,drop,Meghann Fahy Brandon Sklenar Violett Beane Christopher Landon Mystery Thriller
"Ray Mendoza, Alex Garland (directors/screenplay); D'Pharaoh Woon-A-Tai, Will Poulter, Cosmo Jarvis, Kit Connor, Finn Bennett, Taylor John Smith, Michael Gandolfini, Adain Bradley, Noah Centineo, Evan Holtzman, Henrique Zaga, Joseph Quinn, Charles Melton",D'Pharaoh Woon-A-Tai,Will Poulter,Cosmo Jarvis,War Action,warfare,"D'Pharaoh Woon-A-Tai Will Poulter Cosmo Jarvis Ray Mendoza, Alex Garland (directors/screenplay); D'Pharaoh Woon-A-Tai, Will Poulter, Cosmo Jarvis, Kit Connor, Finn Bennett, Taylor John Smith, Michael Gandolfini, Adain Bradley, Noah Centineo, Evan Holtzman, Henrique Zaga, Joseph Quinn, Charles Melton War Action"
Brian Skiba,Nicolas Cage,Stephen Dorff,Heather Graham,Action Thriller Western,gunslingers,Nicolas Cage Stephen Dorff Heather Graham Brian Skiba Action Thriller Western
Michael Angarano,Michael Angarano,Michael Cera,Kristen Stewart,Comedy Drama,sacramento,Michael Angarano Michael Cera Kristen Stewart Michael Angarano Comedy Drama
"Alexander Kiesl, Steffen Hacker",Alexander Kiesl,Steffen Hacker (directors); Michele Morrone,William Moseley,Horror Fantasy Thriller Mystery Action,home sweet home rebirth,"Alexander Kiesl Steffen Hacker (directors); Michele Morrone William Moseley Alexander Kiesl, Steffen Hacker Horror Fantasy Thriller Mystery Action"
Nadia Conners,Walton Goggins,Elizabeth Reaser,Rufus Sewell,Horror,the uninvited,Walton Goggins Elizabeth Reaser Rufus Sewell Nadia Conners Horror
Jean Luc Herbulot,Hus Miller,Cam McHarg,Gary Dourdan,Action Thriller,zero,Hus Miller Cam McHarg Gary Dourdan Jean Luc Herbulot Action Thriller
Brett Wagner,Jason Butler Harner,Virginia Kull,Erica Ash,Drama,the big bend,Jason Butler Harner Virginia Kull Erica Ash Brett Wagner Drama
Jack McCafferty,Jack McCafferty,Lauren LaVera,Ian Ross,Comedy Romance,dreaming of you,Jack McCafferty Lauren LaVera Ian Ross Jack McCafferty Comedy Romance
Ryan Coogler,Michael B. Jordan,Hailee Steinfeld,Miles Caton,Horror Action Thriller,sinners,Michael B. Jordan Hailee Steinfeld Miles Caton Ryan Coogler Horror Action Thriller
Rob Edwards (director/screenplay); Chris Jenkins,Chris Jenkins (director); Anthony Mackie,Martin Lawrence,Swae Lee,Family Comedy Adventure Animation,sneaks,Chris Jenkins (director); Anthony Mackie Martin Lawrence Swae Lee Rob Edwards (director/screenplay); Chris Jenkins Family Comedy Adventure Animation
Isaiah Saxon,Helena Zengel,Finn Wolfhard,Emily Watson,Family Fantasy Adventure,the legend of ochi,Helena Zengel Finn Wolfhard Emily Watson Isaiah Saxon Family Fantasy Adventure
Andrew Ahn,Bowen Yang,Lily Gladstone,Kelly Marie Tran,Comedy Romance Drama,the wedding banquet,Bowen Yang Lily Gladstone Kelly Marie Tran Andrew Ahn Comedy Romance Drama
Gavin O'Connor,Ben Affleck,Jon Bernthal,Cynthia Addai-Robinson,Mystery Crime Thriller,the accountant 2,Ben Affleck Jon Bernthal Cynthia Addai-Robinson Gavin O'Connor Mystery Crime Thriller
David F. Sandberg,Ella Rubin,Michael Cimino,Odessa A'zion,Horror Mystery,until dawn,Ella Rubin Michael Cimino Odessa A'zion David F. Sandberg Horror Mystery
Gareth Evans,Tom Hardy,Jessie Mei Li,Justin Cornwell,Action Crime Thriller Drama,havoc,Tom Hardy Jessie Mei Li Justin Cornwell Gareth Evans Action Crime Thriller Drama
Daniel Minahan,Daisy Edgar-Jones,Jacob Elordi,Will Poulter,Romance Drama,on swift horses,Daisy Edgar-Jones Jacob Elordi Will Poulter Daniel Minahan Romance Drama
Tiffany Paulsen,Jenna Ortega,Percy Hynes White,Marisol Nichols,Romance Drama,winter spring summer or fall,Jenna Ortega Percy Hynes White Marisol Nichols Tiffany Paulsen Romance Drama
Duncan Skiles,Jeffrey Dean Morgan,Jack Quaid,Malin Akerman,Thriller Crime,neighborhood watch,Jeffrey Dean Morgan Jack Quaid Malin Akerman Duncan Skiles Thriller Crime
Amalia Ulman,Chloë Sevigny,Alex Wolff,Amalia Ulman,Comedy,magic farm,Chloë Sevigny Alex Wolff Amalia Ulman Amalia Ulman Comedy
Eli Stern,Jimmy Tatro,Travis Bennett,Victoria Justice,Comedy Action Crime,california king,Jimmy Tatro Travis Bennett Victoria Justice Eli Stern Comedy Action Crime
Gerald Robert Waddell,Ignacyo Matynia,Jordan Knapp,Will Jandro,Horror Mystery,project mkhexe,Ignacyo Matynia Jordan Knapp Will Jandro Gerald Robert Waddell Horror Mystery
Paul Feig,Anna Kendrick,Blake Lively,Andrew Rannells,Comedy Thriller Mystery,another simple favor,Anna Kendrick Blake Lively Andrew Rannells Paul Feig Comedy Thriller Mystery
Jake Schreier,Florence Pugh,Sebastian Stan,Wyatt Russell,Action Science Fiction Adventure,thunderbolts*,Florence Pugh Sebastian Stan Wyatt Russell Jake Schreier Action Science Fiction Adventure
Alex Ross Perry,Pavement,Zoe Lister-Jones,Michael Esper,Comedy Music Documentary,pavements,Pavement Zoe Lister-Jones Michael Esper Alex Ross Perry Comedy Music Documentary
James Strong,Maxine Peake,Jason Isaacs,Ciarán Hinds,Drama Thriller,words of war,Maxine Peake Jason Isaacs Ciarán Hinds James Strong Drama Thriller
Konstantin Khudyakov,Jack Huston,Abby Cornish,Brandon T. Jackson,Drama,i'm beginning to see the light,Jack Huston Abby Cornish Brandon T. Jackson Konstantin Khudyakov Drama
Felipe Vargas,David Dastmalchian,José Zúñiga,Diana Lein,Horror,rosario,David Dastmalchian José Zúñiga Diana Lein Felipe Vargas Horror
Joel Souza,Alec Baldwin,Josh Hopkins,Patrick Scott McDermott,Western Action Drama,rust,Alec Baldwin Josh Hopkins Patrick Scott McDermott Joel Souza Western Action Drama
Joel Potrykus,Joel Potrykus,Joshua Burge,Bill Vincent,Comedy Thriller Drama,vulcanizadora,Joel Potrykus Joshua Burge Bill Vincent Joel Potrykus Comedy Thriller Drama
Hala Matar,Maria Bakalova,Abigail Cowen,Jack Farthing,Drama,electra,Maria Bakalova Abigail Cowen Jack Farthing Hala Matar Drama
Jason Brooks,Sanae Loutsis,Chelsea Edmundson,Tristan Nokes,Fantasy Horror Action,the death of snow white,Sanae Loutsis Chelsea Edmundson Tristan Nokes Jason Brooks Fantasy Horror Action
Carlyle Eubank,Wyatt Russell,Dennis Quaid,Auden Thornton,Western Drama,broke,Wyatt Russell Dennis Quaid Auden Thornton Carlyle Eubank Western Drama
Joe Carnahan,Kerry Washington,Omar Sy,Mark Strong,Action Thriller,shadow force,Kerry Washington Omar Sy Mark Strong Joe Carnahan Action Thriller
James Madigan,Josh Hartnett,Charithra Chandran,Julian Kostov,Action Comedy Thriller,fight or flight,Josh Hartnett Charithra Chandran Julian Kostov James Madigan Action Comedy Thriller
Andrew DeYoung,Tim Robinson,Kate Mara,Jack Dylan Grazer,Comedy Drama,friendship,Tim Robinson Kate Mara Jack Dylan Grazer Andrew DeYoung Comedy Drama
Stephen Chbosky,Vince Vaughn,Lorraine Bracco,Talia Shire,Comedy,nonnas,Vince Vaughn Lorraine Bracco Talia Shire Stephen Chbosky Comedy
Eli Craig,Katie Douglas,Carson MacCormac,Aaron Abrams,Horror Mystery Thriller,clown in a cornfield,Katie Douglas Carson MacCormac Aaron Abrams Eli Craig Horror Mystery Thriller
Timothy Scott Bogart,Clara Rugaard,Jamie Ward,Jason Isaacs,Drama Romance,juliet & romeo,Clara Rugaard Jamie Ward Jason Isaacs Timothy Scott Bogart Drama Romance
Andy Tennant,Don Johnson,Isabelle Fuhrman,Jack Huston,Thriller,unit 234,Don Johnson Isabelle Fuhrman Jack Huston Andy Tennant Thriller
Jillian Bell,Chloe Fineman,Sam Morelos,Matt Cornett,Comedy Drama,summer of 69,Chloe Fineman Sam Morelos Matt Cornett Jillian Bell Comedy Drama
Lexi Alexander,Désiré Mia,Fabiano Viett,Alex Winter,Action Science Fiction,absolute dominion,Désiré Mia Fabiano Viett Alex Winter Lexi Alexander Action Science Fiction
Rachel Feldman,Patricia Clarkson,John Benjamin Hickey,Thomas Sadoski,Drama History,lilly,Patricia Clarkson John Benjamin Hickey Thomas Sadoski Rachel Feldman Drama History
"Zach Lipovsky, Adam Stein",Kaitlyn Santa Juana,Teo Briones,Richard Harmon,Horror Mystery,final destination bloodlines,"Kaitlyn Santa Juana Teo Briones Richard Harmon Zach Lipovsky, Adam Stein Horror Mystery"
Trey Edward Shults,Abel Tesfaye,Jenna Ortega,Barry Keoghan,Music Thriller Drama,hurry up tomorrow,Abel Tesfaye Jenna Ortega Barry Keoghan Trey Edward Shults Music Thriller Drama
"Griff Furst, Nathan Furst (directors/screenplay); Grace Caroline Currey, Virginia Gardner, Riele Downs, Zak Steiner, Page Kennedy, Joey Bragg, Troy Gentile, Hayden Panettiere",Grace Caroline Currey,Virginia Gardner,Riele Downs,Horror Mystery Action,a breed apart,"Grace Caroline Currey Virginia Gardner Riele Downs Griff Furst, Nathan Furst (directors/screenplay); Grace Caroline Currey, Virginia Gardner, Riele Downs, Zak Steiner, Page Kennedy, Joey Bragg, Troy Gentile, Hayden Panettiere Horror Mystery Action"
Qasim Basir,Amin Joseph,Skye P. Marshall,Omari Hardwick,Drama,to live and die and live,Amin Joseph Skye P. Marshall Omari Hardwick Qasim Basir Drama
Stevan Mena,Veronica Cartwright,Madelyn Dundon,Michael Bakkensen,Horror,the ruse,Veronica Cartwright Madelyn Dundon Michael Bakkensen Stevan Mena Horror
Dean Fleischer Camp,Sydney Elizebeth Agudong,Billy Magnussen,Hannah Waddingham,Family Science Fiction Comedy,lilo & stitch,Sydney Elizebeth Agudong Billy Magnussen Hannah Waddingham Dean Fleischer Camp Family Science Fiction Comedy
Christopher McQuarrie,Tom Cruise,Hayley Atwell,Ving Rhames,Action Thriller Adventure,mission: impossible – the final reckoning,Tom Cruise Hayley Atwell Ving Rhames Christopher McQuarrie Action Thriller Adventure
Guy Ritchie,John Krasinski,Natalie Portman,Eiza González,Adventure Fantasy Mystery,fountain of youth,John Krasinski Natalie Portman Eiza González Guy Ritchie Adventure Fantasy Mystery
Matt Palmer,India Fowler,Suzanna Son,Fina Strazza,Horror Mystery,fear street: prom queen,India Fowler Suzanna Son Fina Strazza Matt Palmer Horror Mystery
Jon Avnet,Neal McDonough,Mykelti Williamson,Christopher McDonald,Drama,the last rodeo,Neal McDonough Mykelti Williamson Christopher McDonald Jon Avnet Drama
Daniel Robbins,Kyra Sedgwick,Method Man,Jon Bass,Comedy,bad shabbos,Kyra Sedgwick Method Man Jon Bass Daniel Robbins Comedy
Julia Max,Colby Minifie,Kate Burton,Neil Sandilands,Drama Horror,the surrender,Colby Minifie Kate Burton Neil Sandilands Julia Max Drama Horror
Jonathan Entwistle,Jackie Chan,Ben Wang,Joshua Jackson,Action Adventure Drama,karate kid: legends,Jackie Chan Ben Wang Joshua Jackson Jonathan Entwistle Action Adventure Drama
Wes Anderson,Benicio del Toro,Mia Threapleton,Michael Cera,Comedy Adventure Crime,the phoenician scheme,Benicio del Toro Mia Threapleton Michael Cera Wes Anderson Comedy Adventure Crime
Stimson Snead,Samuel Dunning,Danny Trejo,Joel McHale,Fantasy Comedy Science Fiction,tim travers and the time traveler's paradox,Samuel Dunning Danny Trejo Joel McHale Stimson Snead Fantasy Comedy Science Fiction
Jesse Armstrong,Steve Carell,Jason Schwartzman,Cory Michael Smith,Comedy Drama TV Movie,mountainhead,Steve Carell Jason Schwartzman Cory Michael Smith Jesse Armstrong Comedy Drama TV Movie
Len Wiseman,Ana de Armas,Anjelica Huston,Gabriel Byrne,Action Thriller Crime,ballerina,Ana de Armas Anjelica Huston Gabriel Byrne Len Wiseman Action Thriller Crime
Mike Flanagan,Tom Hiddleston,Chiwetel Ejiofor,Karen Gillan,Fantasy Drama,the life of chuck,Tom Hiddleston Chiwetel Ejiofor Karen Gillan Mike Flanagan Fantasy Drama
Dan Trachtenberg,Lindsay LaVanchy,Louis Ozawa Changchien,Rick Gonzalez,Animation Action Science Fiction Thriller,predator: killer of killers,Lindsay LaVanchy Louis Ozawa Changchien Rick Gonzalez Dan Trachtenberg Animation Action Science Fiction Thriller
Michael Pearce,Julianne Moore,Sydney Sweeney,Domhnall Gleeson,Thriller Drama,echo valley,Julianne Moore Sydney Sweeney Domhnall Gleeson Michael Pearce Thriller Drama
David Midell,Al Pacino,Dan Stevens,Ashley Greene,Horror Drama Thriller,the ritual,Al Pacino Dan Stevens Ashley Greene David Midell Horror Drama Thriller
Tyler Perry,Taraji P. Henson,Sherri Shepherd,Teyana Taylor,Thriller Drama Crime,straw,Taraji P. Henson Sherri Shepherd Teyana Taylor Tyler Perry Thriller Drama Crime
"David Joseph Craig, Brian Crano (directors/screenplay); Nick Kroll, Andrew Rannells, Morgan Spector, Eleonora Romandini, Amanda Seyfried",Nick Kroll,Andrew Rannells,Morgan Spector,Horror Comedy,i don't understand you,"Nick Kroll Andrew Rannells Morgan Spector David Joseph Craig, Brian Crano (directors/screenplay); Nick Kroll, Andrew Rannells, Morgan Spector, Eleonora Romandini, Amanda Seyfried Horror Comedy"
Sean Byrne,Hassie Harrison,Josh Heuston,Rob Carlton,Horror Thriller,dangerous animals,Hassie Harrison Josh Heuston Rob Carlton Sean Byrne Horror Thriller
Dean DeBlois,Mason Thames,Nico Parker,Gabriel Howell,Fantasy Family Action Adventure,how to train your dragon,Mason Thames Nico Parker Gabriel Howell Dean DeBlois Fantasy Family Action Adventure
Celine Song,Dakota Johnson,Chris Evans,Zoë Winters,Romance Drama,materialists,Dakota Johnson Chris Evans Zoë Winters Celine Song Romance Drama
Ernesto Díaz Espinoza,Scott Adkins,Marko Zaror,Alana De La Rossa,Action Thriller Crime,diablo,Scott Adkins Marko Zaror Alana De La Rossa Ernesto Díaz Espinoza Action Thriller Crime
Richard Gray,Pierce Brosnan,Samuel L. Jackson,Brandon Lessard,Western Adventure Crime,the unholy trinity,Pierce Brosnan Samuel L. Jackson Brandon Lessard Richard Gray Western Adventure Crime
"Guy Nattiv, Zar Amir Ebrahimi",Arienne Mandi,Zar Amir Ebrahimi,Jaime Ray Newman,Thriller Drama Mystery,tatami,"Arienne Mandi Zar Amir Ebrahimi Jaime Ray Newman Guy Nattiv, Zar Amir Ebrahimi Thriller Drama Mystery"
"Madeline Sharafian, Domee Shi, Adrian Molina",Yonas Kibreab,Zoe Saldaña,Remy Edgerly,Adventure Animation Comedy Family Science Fiction,elio,"Yonas Kibreab Zoe Saldaña Remy Edgerly Madeline Sharafian, Domee Shi, Adrian Molina Adventure Animation Comedy Family Science Fiction"
Danny Boyle,Jodie Comer,Aaron Taylor-Johnson,Alfie Williams,Horror Thriller Science Fiction,28 years later,Jodie Comer Aaron Taylor-Johnson Alfie Williams Danny Boyle Horror Thriller Science Fiction
"Maggie Kang, Chris Appelhans (directors/screenplay); Hannah McMechan, Danya Jimenez (screenplay); Arden Cho, Ahn Hyo-seop, May Hong, Ji-young Yoo, Yunjin Kim, Daniel Dae Kim, Ken Jeong, Lee Byung-hun",Arden Cho,Ahn Hyo-seop,May Hong,Fantasy Music Comedy Animation,kpop demon hunters,"Arden Cho Ahn Hyo-seop May Hong Maggie Kang, Chris Appelhans (directors/screenplay); Hannah McMechan, Danya Jimenez (screenplay); Arden Cho, Ahn Hyo-seop, May Hong, Ji-young Yoo, Yunjin Kim, Daniel Dae Kim, Ken Jeong, Lee Byung-hun Fantasy Music Comedy Animation"
Jon S. Baird,Benjamin Evan Ainsworth,Bryan Cranston,Allison Janney,Comedy Drama,everything's going to be great,Benjamin Evan Ainsworth Bryan Cranston Allison Janney Jon S. Baird Comedy Drama
Simon West,Rebel Wilson,Anna Camp,Anna Chlumsky,Action Comedy,bride hard,Rebel Wilson Anna Camp Anna Chlumsky Simon West Action Comedy
Colin Tilley,Whitney Peak,S. Epatha Merkerson,Golda Rosheuvel,Horror,eye for an eye,Whitney Peak S. Epatha Merkerson Golda Rosheuvel Colin Tilley Horror
Sarah Friedland,Kathleen Chalfant,Carolyn Michelle Smith,Andy McQueen,Drama,familiar touch,Kathleen Chalfant Carolyn Michelle Smith Andy McQueen Sarah Friedland Drama
Michael Patrick Jann,Ethan Embry,Li Jun Li,Jeremie Harris,Horror Mystery Thriller,alma and the wolf,Ethan Embry Li Jun Li Jeremie Harris Michael Patrick Jann Horror Mystery Thriller
Caylee So,Doua Moua,Perry Yung,Dawn Ying Yuen,Crime Comedy Drama Thriller,the harvest,Doua Moua Perry Yung Dawn Ying Yuen Caylee So Crime Comedy Drama Thriller
"Greg Porper, John Schimke (directors/screenplay); Ed Begley Jr., Dot-Marie Jones, Patty Guggenheim, Kenneth Mosley, Kiel Kennedy",Ed Begley Jr.,Dot-Marie Jones,Patty Guggenheim,Comedy Thriller,don't tell larry,"Ed Begley Jr. Dot-Marie Jones Patty Guggenheim Greg Porper, John Schimke (directors/screenplay); Ed Begley Jr., Dot-Marie Jones, Patty Guggenheim, Kenneth Mosley, Kiel Kennedy Comedy Thriller"
Joseph Kosinski,Brad Pitt,Damson Idris,Kerry Condon,Action Drama,f1,Brad Pitt Damson Idris Kerry Condon Joseph Kosinski Action Drama
Gerard Johnstone,Allison Williams,Violet McGraw,Brian Jordan Alvarez,Action Science Fiction Thriller,m3gan 2.0,Allison Williams Violet McGraw Brian Jordan Alvarez Gerard Johnstone Action Science Fiction Thriller
Eva Victor,Eva Victor,Naomi Ackie,Louis Cancelmi,Drama Comedy,"sorry, baby",Eva Victor Naomi Ackie Louis Cancelmi Eva Victor Drama Comedy
Johnny Martin,Josh Duhamel,Greg Kinnear,María Elisa Camargo,Action Thriller,off the grid,Josh Duhamel Greg Kinnear María Elisa Camargo Johnny Martin Action Thriller
Jonathan Hensleigh,Liam Neeson,Fan Bingbing,Bernard Curry,Action Thriller Drama,ice road: vengeance,Liam Neeson Fan Bingbing Bernard Curry Jonathan Hensleigh Action Thriller Drama
Esteban Arango,River Gallo,Dylan O'Brien,Victoria Pedretti,Drama,ponyboi,River Gallo Dylan O'Brien Victoria Pedretti Esteban Arango Drama
Destry Allyn Spielberg,Michelle Dockery,Regan Aliyah,Zoe Colletti,Horror Thriller,please don't feed the children,Michelle Dockery Regan Aliyah Zoe Colletti Destry Allyn Spielberg Horror Thriller
Danny Turkiewicz,Jon Rudnitsky,Cazzie David,Karan Soni,Drama Comedy,stealing pulp fiction,Jon Rudnitsky Cazzie David Karan Soni Danny Turkiewicz Drama Comedy
Brendan Devane,William Fichtner,Marc Hills,Jocelyn Hudon,Drama Family Music Romance,the sound,William Fichtner Marc Hills Jocelyn Hudon Brendan Devane Drama Family Music Romance
Gareth Edwards,Scarlett Johansson,Mahershala Ali,Jonathan Bailey,Science Fiction Adventure Action,jurassic world rebirth,Scarlett Johansson Mahershala Ali Jonathan Bailey Gareth Edwards Science Fiction Adventure Action
Victoria Mahoney,Charlize Theron,KiKi Layne,Matthias Schoenaerts,Action Fantasy,the old guard 2,Charlize Theron KiKi Layne Matthias Schoenaerts Victoria Mahoney Action Fantasy
Ilya Naishuller,Idris Elba,John Cena,Priyanka Chopra,Action Thriller Comedy,heads of state,Idris Elba John Cena Priyanka Chopra Ilya Naishuller Action Thriller Comedy
Alberto Belli,Samantha Lorraine,Jacob Rodriguez,Daniella Pineda,Family Comedy Adventure,dora and the search for sol dorado,Samantha Lorraine Jacob Rodriguez Daniella Pineda Alberto Belli Family Comedy Adventure
"Will Speck, Josh Gordon",Anthony Ramos,Naomi Scott,Kristofer Hivju,Science Fiction Comedy Action,long distance,"Anthony Ramos Naomi Scott Kristofer Hivju Will Speck, Josh Gordon Science Fiction Comedy Action"
Justin Kelly,Alicia Silverstone,Karl Glusman,Tammy Blanchard,Thriller Drama,pretty thing,Alicia Silverstone Karl Glusman Tammy Blanchard Justin Kelly Thriller Drama
Paul Hoen,Milo Manheim,Meg Donnelly,Chandler Kinney,Fantasy Music Romance Adventure Family Comedy TV Movie,zombies 4: dawn of the vampires,Milo Manheim Meg Donnelly Chandler Kinney Paul Hoen Fantasy Music Romance Adventure Family Comedy TV Movie
James Gunn,David Corenswet,Rachel Brosnahan,Nicholas Hoult,Science Fiction Adventure Action,superman,David Corenswet Rachel Brosnahan Nicholas Hoult James Gunn Science Fiction Adventure Action
Tyler Perry,Tyler Perry,Cassi Davis Patton,David Mann,Comedy Drama,madea's destination wedding,Tyler Perry Cassi Davis Patton David Mann Tyler Perry Comedy Drama
Christian Swegal,Nick Offerman,Jacob Tremblay,Thomas Mann,Crime Drama Thriller,sovereign,Nick Offerman Jacob Tremblay Thomas Mann Christian Swegal Crime Drama Thriller
Josh Stolberg,50 Cent,Bryce Hall,Hannah Stocking,Horror,skillhouse,50 Cent Bryce Hall Hannah Stocking Josh Stolberg Horror
Natasha Kermani,Titus Welliver,Jocelin Donahue,Judah Mackey,Horror,abraham's boys,Titus Welliver Jocelin Donahue Judah Mackey Natasha Kermani Horror
Jennifer Kaytin Robinson,Madelyn Cline,Chase Sui Wonders,Jonah Hauer-King,Horror Thriller Mystery,i know what you did last summer,Madelyn Cline Chase Sui Wonders Jonah Hauer-King Jennifer Kaytin Robinson Horror Thriller Mystery
Chris Miller,Rihanna,James Corden,Nick Offerman,Animation Family Fantasy,smurfs,Rihanna James Corden Nick Offerman Chris Miller Animation Family Fantasy
Ari Aster,Joaquin Phoenix,Pedro Pascal,Luke Grimes,Western Comedy Crime,eddington,Joaquin Phoenix Pedro Pascal Luke Grimes Ari Aster Western Comedy Crime
William Atticus Parker,Leon Addison Brown,Whoopi Goldberg,Alec Baldwin,Mystery Comedy Thriller,atrabilious,Leon Addison Brown Whoopi Goldberg Alec Baldwin William Atticus Parker Mystery Comedy Thriller
Edward Drake,Kevin James,Christina Ricci,Maximilian Osinski,Action Comedy Crime,guns up,Kevin James Christina Ricci Maximilian Osinski Edward Drake Action Comedy Crime
Mitzi Peirone,Bella Thorne,Rebecca De Mornay,Ryan Phillippe,Thriller Horror,saint clare,Bella Thorne Rebecca De Mornay Ryan Phillippe Mitzi Peirone Thriller Horror
Salvador Litvak,Mark Feuerstein,Neal McDonough,Alona Tal,Crime Thriller,guns & moses,Mark Feuerstein Neal McDonough Alona Tal Salvador Litvak Crime Thriller
Joseph Kahn,Brandon Routh,Malina Weissman,Jeff Fahey,Horror Science Fiction,ick,Brandon Routh Malina Weissman Jeff Fahey Joseph Kahn Horror Science Fiction
Matt Shakman,Pedro Pascal,Vanessa Kirby,Ebon Moss-Bachrach,Science Fiction Adventure Action,the fantastic four: first steps,Pedro Pascal Vanessa Kirby Ebon Moss-Bachrach Matt Shakman Science Fiction Adventure Action
Kyle Newacheck,Adam Sandler,Julie Bowen,Christopher McDonald,Comedy,happy gilmore 2,Adam Sandler Julie Bowen Christopher McDonald Kyle Newacheck Comedy
James DeMonaco,Pete Davidson,John Glover,Bruce Altman,Mystery Horror Thriller,the home,Pete Davidson John Glover Bruce Altman James DeMonaco Mystery Horror Thriller
Sophie Brooks,Molly Gordon,Logan Lerman,Geraldine Viswanathan,Romance Comedy Thriller,"oh, hi!",Molly Gordon Logan Lerman Geraldine Viswanathan Sophie Brooks Romance Comedy Thriller
William Kaufman,Max Martini,Brianna Hildebrand,LaMonica Garrett,Science Fiction Action Horror,osiris,Max Martini Brianna Hildebrand LaMonica Garrett William Kaufman Science Fiction Action Horror
Max Tzannes,Lou Diamond Phillips,Malcolm McDowell,Antwone Barnes,Comedy Animation,et tu,Lou Diamond Phillips Malcolm McDowell Antwone Barnes Max Tzannes Comedy Animation
